job_id,company_name,title,description,max_salary,pay_period,location,company_id,views,med_salary,min_salary,formatted_work_type,applies,original_listed_time,remote_allowed,job_posting_url,application_url,application_type,expiry,closed_time,formatted_experience_level,skills_desc,listed_time,posting_domain,sponsored,work_type,currency,compensation_type,normalized_salary,zip_code,fips,source,company,salary_min,salary_max,country_code,extracted_skills,avg_salary
,,Data Analyst," OpusClip is the world's No.1 AI video agent, built for authenticity on social media. We envision a world where everyone can authentically share their story through video, with no expertise needed. Within just 18 months of our launch, over 10 million creators and businesses have used OpusClip to enhance their social presence. We have raised $50 million in total funding and are fortunate to have some of the most supportive investors, including SoftBank Vision Fund, DCM Ventures, Millennium New H…",,,"Burnaby, Greater Vancouver",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,OpusClip,90000.0,130000.0,ca,[],110000.0
,,Data Analyst,"Artificial Intelligence. Actual Impact. At Docebo, we’re using AI to change how people learn at work—and we mean actually change it. We’re an AI-powered learning platform that helps organizations create, deliver, and manage training all in one place. But our real mission goes deeper: we help teams move faster, work smarter, and focus on the work that truly matters. Our platform is built with intelligent, time-saving tools that personalize learning, eliminate busywork, and turn training from a c…",,,"Toronto, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Docebo,54100.0,72100.0,ca,[],63100.0
,,Senior Data Analyst,"Senior Data Analyst Who We Are Teranet is Canada’s leader in the delivery and transformation of statutory registry services with extensive expertise in land and commercial registries. We also market insightful property and data solutions, as well as practice management automation to thousands of customers in the real estate, financial services, government, utilities, and legal markets. Connect. G row. Thrive Together. To learn more about who we are visit our website: www.teranet.ca About the Ro…",,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Teranet,110000.0,132000.0,ca,[],121000.0
,,Geospatial Data Analyst,"Does manipulation and analysis of raster and vector datasets really get you going? How about Geo AI, programming, and working in the natural resource sector? If these are your passions, then this is the job for you! Cabin Resources Management Ltd. has built a foundation of experience and dedication to quality and innovative solutions in four main divisions: forestry, wildfire, heritage and geospatial. We are currently looking to add a Geospatial Data Analyst to our company. Responsibilities: As…",,,"Kelowna, Central Okanagan",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Cabin Resource Management Ltd.,75000.0,95000.0,ca,[],85000.0
,,System and Data Analyst,"This position is open until filled. To ensure consideration, applications should be received by Monday, August 24. Applications must have direct, hands-on experience with Yardi software to be considered. The Systems and Data Analyst position performs advanced technical work developing and implementing solutions that support the Authority’s business strategy. This position serves as an all-tier support for the agencies Yardi system, including issue documentation, user account and access manageme…",,,"Vancouver, Greater Vancouver",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Vancouver Housing Authority,85020.0,127530.0,ca,[],106275.0
,,EDI and Data Analyst,"Position: EDI and Data Analyst Position reports to: Director of IT Position Overview: Greenstone Meats is seeking an EDI (Electronic Data Interchange) and Data Support professional. The EDI (Electronic Data Interchange) and Data Support role will be the technical and business bridge between IT and our systems and supply chain operations and our customer shipping and billing processes. You will manage, monitor, and troubleshoot the automated exchange of digital business documents between Greenst…",,,"Etobicoke, Toronto",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Greenstone Meats,94000.0,110000.0,ca,[],102000.0
,,Data Analyst-1,"JOB DESCRIPTION Job Title: Data Analyst Job Status : X2 Permanent Vacancies Team: Analytics Reports to: Manager, Analytics Job Level: 6 I. JOB PURPOSE Creates reports, dashboards and performs ad-hoc analysis to support the College’s strategic commitment to leveraging data and analytics to support evidence-based decision-making. II. KEY RESPONSIBILITIES Develops reports, standardized queries, dashboards and performs ad-hoc analysis to support College projects, initiatives, and processes. Coordin…",,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,College of Nurses of Ontario,108073.0,114845.0,ca,[],111459.0
,,Market Data Analyst,"ARE YOU: Passionate about Real Estate? Are you looking to launch your career with an innovative company? Does the prospect of working with a talented team excite you? Are you a recent graduate with a degree in Business, Real Estate, Finance or Economics, looking for an opportunity to get your foot in the door with an extraordinary company? If so, you're probably a great fit for our Market Data Analyst position! YOU BRING : Great organizational and time management skills, and thrive in a fast-pa…",,,"Greater Vancouver, British Columbia",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Intracorp,48000.0,60000.0,ca,[],54000.0
,,Principal Data Analyst,"Job Requisition ID  26WD100492 L'affichage de poste en français suivra / The French job posting follows. 26WD100492, Principal Data Analyst Position Overview Autodesk has invested in data-driven decision-making, optimizing our platform’s business, product, and cost. The next five years will transform how we work, with a surge in data volume and scaling of AI/ML to provide even greater value to our customers. We are looking for a Principal Data Analyst to serve as a senior individual contributor…",,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Autodesk,99000.0,145200.0,ca,['Machine Learning'],122100.0
,,Data Analyst Engineer,"This is your opportunity to join AXIS Capital – a trusted global provider of specialty lines insurance and reinsurance. We stand apart for our outstanding client service, intelligent risk taking and superior risk adjusted returns for our shareholders. We also proudly maintain an entrepreneurial, disciplined and ethical corporate culture. As a member of AXIS, you join a team that is among the best in the industry. At AXIS, we believe that we are only as strong as our people. We strive to create …",,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,AXIS,75000.0,120000.0,ca,[],97500.0
,,"Data Analyst, Investment Data Management","Interested in joining one of Canada’s top performing asset managers? We are looking for a Data Analyst for an existing vacancy on our Investment Data Management (IDM) team. The IDM Team resides within the middle office and is responsible for managing data centric processes and data quality that supports the investment management business. Connor, Clark & Lunn Financial Group Ltd. (CCLFG) manages a wide range of global assets and heavily relies on the output of the Data Management Team for a var…",,,"Toronto, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,"Connor, Clark & Lunn Financial Group",60000.0,90000.0,ca,[],75000.0
,,"Data Analyst, Investment Data Management","Interested in joining one of Canada’s top performing asset managers? We are looking for a Data Analyst for an existing vacancy on our Investment Data Management (IDM) team. The IDM Team resides within the middle office and is responsible for managing data centric processes and data quality that supports the investment management business. Connor, Clark & Lunn Financial Group Ltd. (CCLFG) manages a wide range of global assets and heavily relies on the output of the Data Management Team for a var…",,,"Greater Vancouver, British Columbia",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,"Connor, Clark & Lunn Financial Group",60000.0,90000.0,ca,[],75000.0
,,Financial Data Analyst - Hybrid,"Position Overview The Financial Data Analyst plays a key role in supporting the accuracy, integrity, and timely reporting of financial information for Encore Canada. Reporting to the Accounting Manager, this position is responsible for analyzing, reconciling, and recording complex financial data in Oracle. Primarily focusing on compensation-related transactions, payroll accounting, accruals, and financial reporting. The successful candidate will partner with Accounting, Finance, Payroll, HR, an…",,,"Woodbridge, York region",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Encore Global,70000.0,80000.0,ca,[],75000.0
,,"Data Analyst, In-line Inspection","Your Job We are seeking a Data Analyst for our Pipeline Inline Inspection (ILI) Data Analysis team. DarkVision uses state-of-the-art proprietary acoustic imaging technologies to provide asset inspection services to industrial clients. This ultrasound system gathers immense datasets and identifies defects as small as a few millimeters. Automated processing, measurement, classification, and visualization algorithms are crucial due to the time-consuming and inconsistent nature of manual processing…",,,"North Vancouver, Greater Vancouver",,,,,,,,,,,,,,,,,,,,,,,,,adzuna_ca,Koch,58240.0,60320.0,ca,[],59280.0
